"title","company","location_label","tenure_label","salary_min","salary_max","occupation_label","description","search_term","source","creationdate","worktypecode","salary_period","salary_min1","salary_max1","title_clean","description_clean","description_tsv","keywords","address_short","state_abbr","city"
Business Analyst,Glencore,"Parkside, Mt Isa",permanent,,,Logistics & Warehouse Jobs,"Main objective of the position is the management of Copper metals and concentrate contracts from Australian operations. This encompasses administration of contracts with customers, managing the logistics and service provider contracts that perform movement of these purchases and sales to the port, receiving smelter, invoicing finance, hedging, documentation, insurance and other related matters.",business analyst,Adzuna API,2026-07-25 15:59:11.000 +0700,part_time,,,,Business Analyst,"Main objective of the position is the management of Copper metals and concentrate contracts from Australian operations. This encompasses administration of contracts with customers, managing the logistics and service provider contracts that perform movement of these purchases and sales to the port, receiving smelter, invoicing finance, hedging, documentation, insurance and other related matters.","'administr':20 'australian':16 'concentr':13 'contract':14,22,31 'copper':10 'custom':24 'document':48 'encompass':19 'financ':46 'hedg':47 'insur':49 'invoic':45 'logist':27 'main':1 'manag':8,25 'matter':53 'metal':11 'movement':34 'object':2 'oper':17 'perform':33 'port':42 'posit':5 'provid':30 'purchas':37 'receiv':43 'relat':52 'sale':39 'servic':29 'smelter':44","{administr,australian,concentr,contract,copper,custom,document,encompass,financ,hedg,insur,invoic,logist,main,manag,matter,metal,movement,object,oper,perform,port,posit,provid,purchas,receiv,relat,sale,servic,smelter}",,,Parkside
Principal Data Analyst,South Australian Department of Treasury and Finance,"Adelaide CBD, Adelaide",permanent,,,IT Jobs,"We are currently seeking applications for an experienced and motivated Principal Data Analyst, to join Digital Development Team within the Information and Technology Branch of The Department of Treasury & Finance for a period of 12 months with the possibility of extension. Remuneration: ASO7 – Salary Range (ASO7 $112,163 - $121,246 p.a.) About the opportunity:The Principal Data Analyst is a senior role, responsible for delivering and continuously improving enterprise analytics, data engineering…",data analyst,Adzuna API,2026-07-05 14:47:30.000 +0700,full_time,,,,Principal Data Analyst,"We are currently seeking applications for an experienced and motivated Principal Data Analyst, to join Digital Development Team within the Information and Technology Branch of The Department of Treasury & Finance for a period of 12 months with the possibility of extension. Remuneration: ASO7 – Salary Range (ASO7 $112,163 - $121,246 p.a.) About the opportunity:The Principal Data Analyst is a senior role, responsible for delivering and continuously improving enterprise analytics, data engineering…","'112':48 '12':35 '121':50 '163':49 '246':51 'analyst':13,59 'analyt':71 'applic':5 'aso7':43,47 'branch':24 'continu':68 'current':3 'data':12,58,72 'deliv':66 'depart':27 'develop':17 'digit':16 'engineering…':73 'enterpris':70 'experienc':8 'extens':41 'financ':30 'improv':69 'inform':21 'join':15 'month':36 'motiv':10 'opportun':55 'p.a':52 'period':33 'possibl':39 'princip':11,57 'rang':46 'remuner':42 'respons':64 'role':63 'salari':45 'seek':4 'senior':62 'team':18 'technolog':23 'treasuri':29 'within':19 '–':44","{112,12,121,163,246,analyst,analyt,applic,aso7,branch,continu,current,data,deliv,depart,develop,digit,engineering…,enterpris,experienc,extens,financ,improv,inform,join,month,motiv,opportun,p.a,period,possibl,princip,rang,remuner,respons,role,salari,seek,senior,team,technolog,treasuri,within,–}","Adelaide, SA",SA,Adelaide
Senior Consultant - Data & Analytics,Ashurst,"South Yarra, Stonnington Area",not_specified,,,Consultancy Jobs,"Job Title Senior Consultant - Data & Analytics Location Melbourne Description Risk Advisory was created to respond to client demand and is designed to provide risk expertise that complements Ashurst Perkins Coie's core legal services. We provide the opportunity to work with an expertise-led team that has been consistently growing since its inception, and is dedicated to collaboration, diversity, transparency and innovation. Our vision is to create a unique culture in the consulting market based…",analytics consultant,Adzuna API,2026-07-02 15:41:54.000 +0700,full_time,,,,Senior Consultant,"Job Title Senior Consultant - Data & Analytics Location Melbourne Description Risk Advisory was created to respond to client demand and is designed to provide risk expertise that complements Ashurst Perkins Coie's core legal services. We provide the opportunity to work with an expertise-led team that has been consistently growing since its inception, and is dedicated to collaboration, diversity, transparency and innovation. Our vision is to create a unique culture in the consulting market based…","'advisori':11 'analyt':6 'ashurst':28 'based…':76 'client':17 'coie':30 'collabor':59 'complement':27 'consist':50 'consult':4,74 'core':32 'creat':13,68 'cultur':71 'data':5 'dedic':57 'demand':18 'descript':9 'design':21 'divers':60 'expertis':25,44 'expertise-l':43 'grow':51 'incept':54 'innov':63 'job':1 'led':45 'legal':33 'locat':7 'market':75 'melbourn':8 'opportun':38 'perkin':29 'provid':23,36 'respond':15 'risk':10,24 'senior':3 'servic':34 'sinc':52 'team':46 'titl':2 'transpar':61 'uniqu':70 'vision':65 'work':40","{advisori,analyt,ashurst,based…,client,coie,collabor,complement,consist,consult,core,creat,cultur,data,dedic,demand,descript,design,divers,expertis,expertise-l,grow,incept,innov,job,led,legal,locat,market,melbourn,opportun,perkin,provid,respond,risk,senior,servic,sinc,team,titl,transpar,uniqu,vision,work}",,,South Yarra
SENIOR LEAD DATA ANALYST,Circuit Recruitment,"The Rocks, Sydney",permanent,,,IT Jobs,"Lead Data Analyst Permanent, full time Sydney preferred, Melbourne considered. $155,000 to $170,000  superannuation  15% bonus 21st July, 2026 Lead Data Analyst Permanent, full time Sydney preferred, Melbourne considered. $155,000 to $170,000  superannuation  15% bonus About the opportunity This global medical technology company has never had a dedicated Data & Analytics partner for its Medical business, which means this is a genuine build from the ground up rather than a step into an establish…",data analyst,Adzuna API,2026-07-25 17:10:17.000 +0700,full_time,,,,,"Lead Data Analyst Permanent, full time Sydney preferred, Melbourne considered. $155,000 to $170,000 superannuation 15% bonus 21st July, 2026 Lead Data Analyst Permanent, full time Sydney preferred, Melbourne considered. $155,000 to $170,000 superannuation 15% bonus About the opportunity This global medical technology company has never had a dedicated Data & Analytics partner for its Medical business, which means this is a genuine build from the ground up rather than a step into an establish…","'000':12,15,33,36 '15':17,38 '155':11,32 '170':14,35 '2026':21 '21st':19 'analyst':3,24 'analyt':54 'bonus':18,39 'build':66 'busi':59 'compani':47 'consid':10,31 'data':2,23,53 'dedic':52 'establish…':77 'full':5,26 'genuin':65 'global':44 'ground':69 'juli':20 'lead':1,22 'mean':61 'medic':45,58 'melbourn':9,30 'never':49 'opportun':42 'partner':55 'perman':4,25 'prefer':8,29 'rather':71 'step':74 'superannu':16,37 'sydney':7,28 'technolog':46 'time':6,27","{000,15,155,170,2026,21st,analyst,analyt,bonus,build,busi,compani,consid,data,dedic,establish…,full,genuin,global,ground,juli,lead,mean,medic,melbourn,never,opportun,partner,perman,prefer,rather,step,superannu,sydney,technolog,time}","Sydney, NSW",NSW,Sydney
Graduate - Technology,APA Group,"Melbourne, Melbourne Region",permanent,,,Graduate Jobs,"The Opportunity At APA, our purpose is to secure Australia’s energy future. We’re not doing it alone. We’re doing it with our customers and communities as Australia’s energy infrastructure partner, a role our unique experience and expertise positions us to play. At APA we’re not just about pipelines and power – we’re about powering potential. Our Graduate Program Our Graduates are permanent employees from day one, so your rotational program is your launchpad into the dynamic world of energy inf…",insights analyst,Adzuna API,2025-10-09 11:19:27.000 +0700,full_time,,,,Graduate,"The Opportunity At APA, our purpose is to secure Australia’s energy future. We’re not doing it alone. We’re doing it with our customers and communities as Australia’s energy infrastructure partner, a role our unique experience and expertise positions us to play. At APA we’re not just about pipelines and power – we’re about powering potential. Our Graduate Program Our Graduates are permanent employees from day one, so your rotational program is your launchpad into the dynamic world of energy inf…","'alon':17 'apa':4,43 'australia’':10,27 'communiti':25 'custom':23 'day':65 'dynam':76 'employe':63 'energi':11,28,79 'experi':35 'expertis':37 'futur':12 'graduat':57,60 'infrastructur':29 'inf…':80 'launchpad':73 'one':66 'opportun':2 'partner':30 'perman':62 'pipelin':48 'play':41 'posit':38 'potenti':55 'power':50,54 'program':58,70 'purpos':6 'role':32 'rotat':69 'secur':9 'uniqu':34 'us':39 'we’r':13,18,44,52 'world':77 '–':51","{alon,apa,australia’,communiti,custom,day,dynam,employe,energi,experi,expertis,futur,graduat,infrastructur,inf…,launchpad,one,opportun,partner,perman,pipelin,play,posit,potenti,power,program,purpos,role,rotat,secur,uniqu,us,we’r,world,–}","Melbourne, VIC",VIC,Melbourne
Senior Data Analyst,Prophix,"Perth CBD, Perth",permanent,,,IT Jobs,"See What You Can Do With Prophix More than 3,000 finance teams across 100 countries use Prophix One™ to plan, report, and make better decisions without the spreadsheet chaos. We're a global team with a growing Australian presence, and we're looking for people who want to do great work, make a real contribution, and build a career with genuine international reach. We have teams and offices across the UK, Europe, North America, and Australia. Trusted by more than 3,000 finance teams across 100 co…",data analyst,Adzuna API,2026-07-06 13:29:25.000 +0700,full_time,,,,Senior Data Analyst,"See What You Can Do With Prophix More than 3,000 finance teams across 100 countries use Prophix One™ to plan, report, and make better decisions without the spreadsheet chaos. We're a global team with a growing Australian presence, and we're looking for people who want to do great work, make a real contribution, and build a career with genuine international reach. We have teams and offices across the UK, Europe, North America, and Australia. Trusted by more than 3,000 finance teams across 100 co…","'000':11,83 '100':15,87 '3':10,82 'across':14,70,86 'america':75 'australia':77 'australian':39 'better':25 'build':58 'career':60 'chao':30 'contribut':56 'countri':16 'co…':88 'decis':26 'europ':73 'financ':12,84 'genuin':62 'global':34 'great':51 'grow':38 'intern':63 'look':44 'make':24,53 'north':74 'offic':69 'one™':19 'peopl':46 'plan':21 'presenc':40 'prophix':7,18 're':32,43 'reach':64 'real':55 'report':22 'see':1 'spreadsheet':29 'team':13,35,67,85 'trust':78 'uk':72 'use':17 'want':48 'without':27 'work':52","{000,100,3,across,america,australia,australian,better,build,career,chao,contribut,countri,co…,decis,europ,financ,genuin,global,great,grow,intern,look,make,north,offic,one™,peopl,plan,presenc,prophix,re,reach,real,report,see,spreadsheet,team,trust,uk,use,want,without,work}","Perth, WA",WA,Perth
Senior AML Systems and Data Analyst,BOQ Group,"The Rocks, Sydney",not_specified,,,Accounting & Finance Jobs,"About the role At BOQ Group, we're continuing to strengthen and evolve our Financial Crime capability, and we're looking for a Senior AML Systems and Data Analyst to play a key role in shaping how we detect, monitor and respond to financial crime risks across the Group. This role sits within our Financial Crime Operations team and combines financial crime expertise, data analytics and stakeholder engagement to ensure our detection controls remain effective, risk-based and aligned to regulatory …",data analyst,Adzuna API,2026-07-25 17:09:47.000 +0700,full_time,,,,Senior AML Systems and Data Analyst,"About the role At BOQ Group, we're continuing to strengthen and evolve our Financial Crime capability, and we're looking for a Senior AML Systems and Data Analyst to play a key role in shaping how we detect, monitor and respond to financial crime risks across the Group. This role sits within our Financial Crime Operations team and combines financial crime expertise, data analytics and stakeholder engagement to ensure our detection controls remain effective, risk-based and aligned to regulatory …","'across':47 'align':80 'aml':25 'analyst':29 'analyt':65 'base':78 'boq':5 'capabl':17 'combin':60 'continu':9 'control':73 'crime':16,45,56,62 'data':28,64 'detect':39,72 'effect':75 'engag':68 'ensur':70 'evolv':13 'expertis':63 'financi':15,44,55,61 'group':6,49 'key':33 'look':21 'monitor':40 'oper':57 'play':31 're':8,20 'regulatori':82 'remain':74 'respond':42 'risk':46,77 'risk-bas':76 'role':3,34,51 'senior':24 'shape':36 'sit':52 'stakehold':67 'strengthen':11 'system':26 'team':58 'within':53 '…':83","{across,align,aml,analyst,analyt,base,boq,capabl,combin,continu,control,crime,data,detect,effect,engag,ensur,evolv,expertis,financi,group,key,look,monitor,oper,play,re,regulatori,remain,respond,risk,risk-bas,role,senior,shape,sit,stakehold,strengthen,system,team,within,…}","Sydney, NSW",NSW,Sydney
Space Data Analyst,JLL,"Barton, South Canberra",permanent,,,Consultancy Jobs,"JLL supports the Whole You, personally and professionally. Our people at JLL are shaping the future of real estate for a better world by combining world class services, advisory and technology to our clients. We are committed to hiring the best, most talented people in our industry; and we support them through professional growth, flexibility, and personalized benefits to manage life in and outside of work. Whether you’ve got deep experience in commercial real estate, skilled trades, and techno…",data analyst,Adzuna API,2026-07-18 14:04:26.000 +0700,part_time,,,,Space Data Analyst,"JLL supports the Whole You, personally and professionally. Our people at JLL are shaping the future of real estate for a better world by combining world class services, advisory and technology to our clients. We are committed to hiring the best, most talented people in our industry; and we support them through professional growth, flexibility, and personalized benefits to manage life in and outside of work. Whether you’ve got deep experience in commercial real estate, skilled trades, and techno…","'advisori':29 'benefit':58 'best':41 'better':22 'class':27 'client':34 'combin':25 'commerci':73 'commit':37 'deep':70 'estat':19,75 'experi':71 'flexibl':55 'futur':16 'got':69 'growth':54 'hire':39 'industri':47 'jll':1,12 'life':61 'manag':60 'outsid':64 'peopl':10,44 'person':6,57 'profession':8,53 'real':18,74 'servic':28 'shape':14 'skill':76 'support':2,50 'talent':43 'technolog':31 'techno…':79 'trade':77 'whether':67 'whole':4 'work':66 'world':23,26 'you’v':68","{advisori,benefit,best,better,class,client,combin,commerci,commit,deep,estat,experi,flexibl,futur,got,growth,hire,industri,jll,life,manag,outsid,peopl,person,profession,real,servic,shape,skill,support,talent,technolog,techno…,trade,whether,whole,work,world,you’v}","Canberra, ACT",ACT,Canberra
Senior Data Analyst,Jomablue,"The Rocks, Sydney",not_specified,,,IT Jobs,"About Us Jomablue is a premium enterprise event technology company, trusted by some of the world’s leading organisations to deliver complex, high-stakes events. With over 25 years in the events industry, that heritage shows in everything we build and every event we deliver. Named ‘Best Event Management Platform’ at the Event Technology Awards and certified as a ‘Great Place to Work’, the recognition reflects what we have always believed: that the people in our team matter as much as the experie…",data analyst,Adzuna API,2026-07-08 18:00:58.000 +0700,full_time,,,,Senior Data Analyst,"About Us Jomablue is a premium enterprise event technology company, trusted by some of the world’s leading organisations to deliver complex, high-stakes events. With over 25 years in the events industry, that heritage shows in everything we build and every event we deliver. Named ‘Best Event Management Platform’ at the Event Technology Awards and certified as a ‘Great Place to Work’, the recognition reflects what we have always believed: that the people in our team matter as much as the experie…","'25':28 'alway':70 'award':55 'believ':71 'build':40 'certifi':57 'compani':10 'complex':21 'deliv':20,45 'enterpris':7 'event':8,25,32,43,48,53 'everi':42 'everyth':38 'experie…':83 'heritag':35 'high':23 'high-stak':22 'industri':33 'jomablu':3 'lead':17 'manag':49 'matter':78 'much':80 'name':46 'organis':18 'peopl':74 'place':61 'platform’':50 'premium':6 'recognit':65 'reflect':66 'show':36 'stake':24 'team':77 'technolog':9,54 'trust':11 'us':2 'work’':63 'world’':16 'year':29 '‘best':47 '‘great':60","{25,alway,award,believ,build,certifi,compani,complex,deliv,enterpris,event,everi,everyth,experie…,heritag,high,high-stak,industri,jomablu,lead,manag,matter,much,name,organis,peopl,place,platform’,premium,recognit,reflect,show,stake,team,technolog,trust,us,work’,world’,year,‘best,‘great}","Sydney, NSW",NSW,Sydney
SENIOR BUSINESS ANALYST,Just Digital People,"Gold Coast Region, Queensland",not_specified,,,IT Jobs,"About Senior Business Analyst | Digital Products | Agile | AI-Enabled Delivery Gold Coast | Hybrid We're partnering with an established Australian technology business that's investing heavily in the next generation of its digital platforms. We're looking for an experienced Senior Business Analyst to play a key role in delivering a new customer-facing platform while continuing to enhance existing business systems. You'll work closely with engineering, product and business stakeholders, helping s…",business analyst,Adzuna API,2026-07-16 09:14:37.000 +0700,full_time,,,,,"About Senior Business Analyst | Digital Products | Agile | AI-Enabled Delivery Gold Coast | Hybrid We're partnering with an established Australian technology business that's investing heavily in the next generation of its digital platforms. We're looking for an experienced Senior Business Analyst to play a key role in delivering a new customer-facing platform while continuing to enhance existing business systems. You'll work closely with engineering, product and business stakeholders, helping s…","'agil':7 'ai':9 'ai-en':8 'analyst':4,44 'australian':21 'busi':3,23,43,63,73 'close':68 'coast':13 'continu':59 'custom':55 'customer-fac':54 'deliv':51 'deliveri':11 'digit':5,34 'enabl':10 'engin':70 'enhanc':61 'establish':20 'exist':62 'experienc':41 'face':56 'generat':31 'gold':12 'heavili':27 'help':75 'hybrid':14 'invest':26 'key':48 'll':66 'look':38 'new':53 'next':30 'partner':17 'platform':35,57 'play':46 'product':6,71 're':16,37 'role':49 'senior':2,42 'stakehold':74 'system':64 's…':76 'technolog':22 'work':67","{agil,ai,ai-en,analyst,australian,busi,close,coast,continu,custom,customer-fac,deliv,deliveri,digit,enabl,engin,enhanc,establish,exist,experienc,face,generat,gold,heavili,help,hybrid,invest,key,ll,look,new,next,partner,platform,play,product,re,role,senior,stakehold,system,s…,technolog,work}",,,Gold Coast Region
Senior Data Analyst,Gigacomm,Australia,not_specified,,,IT Jobs,"About Us The future of the world is increasingly digital and connected however many Australians suffer from frustratingly slow internet. At Gigacomm, we believe in the power of connectivity to improve the world we live in. We build and operate an independent network which uses the latest technology to provide reliable, ultra-fast internet to Australian homes and businesses. We are committed to building a diverse and inclusive team who bring different perspectives, that help best represent the c…",data analyst,Adzuna API,2026-07-05 18:12:13.000 +0700,full_time,,,,Senior Data Analyst,"About Us The future of the world is increasingly digital and connected however many Australians suffer from frustratingly slow internet. At Gigacomm, we believe in the power of connectivity to improve the world we live in. We build and operate an independent network which uses the latest technology to provide reliable, ultra-fast internet to Australian homes and businesses. We are committed to building a diverse and inclusive team who bring different perspectives, that help best represent the c…","'australian':15,57 'believ':24 'best':77 'bring':72 'build':38,65 'busi':60 'commit':63 'connect':12,29 'c…':80 'differ':73 'digit':10 'divers':67 'fast':54 'frustrat':18 'futur':4 'gigacomm':22 'help':76 'home':58 'howev':13 'improv':31 'inclus':69 'increas':9 'independ':42 'internet':20,55 'latest':47 'live':35 'mani':14 'network':43 'oper':40 'perspect':74 'power':27 'provid':50 'reliabl':51 'repres':78 'slow':19 'suffer':16 'team':70 'technolog':48 'ultra':53 'ultra-fast':52 'us':2 'use':45 'world':7,33","{australian,believ,best,bring,build,busi,commit,connect,c…,differ,digit,divers,fast,frustrat,futur,gigacomm,help,home,howev,improv,inclus,increas,independ,internet,latest,live,mani,network,oper,perspect,power,provid,reliabl,repres,slow,suffer,team,technolog,ultra,ultra-fast,us,use,world}",,,Australia
HR Business Analyst,Davidson,"South Yarra, Stonnington Area",not_specified,,,HR & Recruitment Jobs,"About the Company Davidson is partnering with a leading organisation seeking an experienced Business Analyst to support process mapping, documentation and governance across their People function. This is an excellent opportunity for a BA with a strong HR process background to join a priority initiative and help create clear, future-ready processes across a complex stakeholder environment. About the Role As the Business Analyst, you will support the analysis and documentation of current-state HR…",business analyst,Adzuna API,2026-07-08 16:39:20.000 +0700,full_time,,,,HR Business Analyst,"About the Company Davidson is partnering with a leading organisation seeking an experienced Business Analyst to support process mapping, documentation and governance across their People function. This is an excellent opportunity for a BA with a strong HR process background to join a priority initiative and help create clear, future-ready processes across a complex stakeholder environment. About the Role As the Business Analyst, you will support the analysis and documentation of current-state HR…","'across':23,54 'analysi':70 'analyst':15,65 'ba':34 'background':40 'busi':14,64 'clear':49 'compani':3 'complex':56 'creat':48 'current':75 'current-st':74 'davidson':4 'document':20,72 'environ':58 'excel':30 'experienc':13 'function':26 'futur':51 'future-readi':50 'govern':22 'help':47 'hr':38 'hr…':77 'initi':45 'join':42 'lead':9 'map':19 'opportun':31 'organis':10 'partner':6 'peopl':25 'prioriti':44 'process':18,39,53 'readi':52 'role':61 'seek':11 'stakehold':57 'state':76 'strong':37 'support':17,68","{across,analysi,analyst,ba,background,busi,clear,compani,complex,creat,current,current-st,davidson,document,environ,excel,experienc,function,futur,future-readi,govern,help,hr,hr…,initi,join,lead,map,opportun,organis,partner,peopl,prioriti,process,readi,role,seek,stakehold,state,strong,support}",,,South Yarra
Lead Data Analyst - Technical Lead,Stryker,"Sydney, Sydney Region",not_specified,,,IT Jobs,"We're looking for a technically strong and highly collaborative senior Lead Data Analyst to join our Data & Analytics team and help shape the future of Stryker's strategy and impact. This role is ideal for someone who is passionate about modern analytics practices, mentoring others, and building scalable solutions that enable better business outcomes. You'll provide technical leadership, support capability uplift, and help drive adoption of best practices, tools, and platforms including Microso…",data analyst,Adzuna API,2026-03-26 20:02:40.000 +0700,not specified,,,,Lead Data Analyst - Technical Lead,"We're looking for a technically strong and highly collaborative senior Lead Data Analyst to join our Data & Analytics team and help shape the future of Stryker's strategy and impact. This role is ideal for someone who is passionate about modern analytics practices, mentoring others, and building scalable solutions that enable better business outcomes. You'll provide technical leadership, support capability uplift, and help drive adoption of best practices, tools, and platforms including Microso…","'adopt':67 'analyst':14 'analyt':19,43 'best':69 'better':53 'build':48 'busi':54 'capabl':62 'collabor':10 'data':13,18 'drive':66 'enabl':52 'futur':25 'help':22,65 'high':9 'ideal':35 'impact':31 'includ':74 'join':16 'lead':12 'leadership':60 'll':57 'look':3 'mentor':45 'microso…':75 'modern':42 'other':46 'outcom':55 'passion':40 'platform':73 'practic':44,70 'provid':58 're':2 'role':33 'scalabl':49 'senior':11 'shape':23 'solut':50 'someon':37 'strategi':29 'strong':7 'stryker':27 'support':61 'team':20 'technic':6,59 'tool':71 'uplift':63","{adopt,analyst,analyt,best,better,build,busi,capabl,collabor,data,drive,enabl,futur,help,high,ideal,impact,includ,join,lead,leadership,ll,look,mentor,microso…,modern,other,outcom,passion,platform,practic,provid,re,role,scalabl,senior,shape,solut,someon,strategi,strong,stryker,support,team,technic,tool,uplift}","Sydney, NSW",NSW,Sydney
HR Systems & Data Analyst,Kaefer,"Perth CBD, Perth",permanent,,,IT Jobs,"KAEFER Integrated Services Pty Ltd is the Australian subsidiary of the KAEFER Group, a company renowned worldwide for excellence in the fields of asset integrity solutions and industrial services, with an annual turnover of around €1.7 billion and around 30,000 employees worldwide. We specialise in the supply of asset integrity and industrial services solutions to the Oil, LNG, Mining and Power Industries and pride ourselves on our effective delivery of quality products and our exceptional serv…",data analyst,Adzuna API,2026-07-09 13:57:07.000 +0700,part_time,,,,HR Systems & Data Analyst,"KAEFER Integrated Services Pty Ltd is the Australian subsidiary of the KAEFER Group, a company renowned worldwide for excellence in the fields of asset integrity solutions and industrial services, with an annual turnover of around €1.7 billion and around 30,000 employees worldwide. We specialise in the supply of asset integrity and industrial services solutions to the Oil, LNG, Mining and Power Industries and pride ourselves on our effective delivery of quality products and our exceptional serv…","'000':41 '30':40 'annual':32 'around':35,39 'asset':24,50 'australian':8 'billion':37 'compani':15 'deliveri':70 'effect':69 'employe':42 'excel':19 'except':76 'field':22 'group':13 'industri':28,53,63 'integr':2,25,51 'kaefer':1,12 'lng':59 'ltd':5 'mine':60 'oil':58 'power':62 'pride':65 'product':73 'pti':4 'qualiti':72 'renown':16 'servic':3,29,54 'serv…':77 'solut':26,55 'specialis':45 'subsidiari':9 'suppli':48 'turnov':33 'worldwid':17,43 '€1.7':36","{000,30,annual,around,asset,australian,billion,compani,deliveri,effect,employe,excel,except,field,group,industri,integr,kaefer,lng,ltd,mine,oil,power,pride,product,pti,qualiti,renown,servic,serv…,solut,specialis,subsidiari,suppli,turnov,worldwid,€1.7}","Perth, WA",WA,Perth
Senior Data Analyst - Data Platform Team,Bluefin Resources,"The Rocks, Sydney",not_specified,,,IT Jobs,"Senior Data Analyst - Data Platform Team About the Role We're recruiting a Senior Data Analyst to join a Federal Government agency's data platform team. You'll work as part of the engineering-focused team that builds and operates their cloud data platform, designing, building and maintaining production data products and pipelines. This is not a traditional analytics role - you'll own data product quality, architecture and reliability as part of the platform team. No people management, but you'l…",data analyst,Adzuna API,2026-07-18 01:14:00.000 +0700,full_time,,,,Senior Data Analyst,"Senior Data Analyst - Data Platform Team About the Role We're recruiting a Senior Data Analyst to join a Federal Government agency's data platform team. You'll work as part of the engineering-focused team that builds and operates their cloud data platform, designing, building and maintaining production data products and pipelines. This is not a traditional analytics role - you'll own data product quality, architecture and reliability as part of the platform team. No people management, but you'l…","'agenc':22 'analyst':3,16 'analyt':60 'architectur':68 'build':39,47 'cloud':43 'data':2,4,15,24,44,51,65 'design':46 'engin':35 'engineering-focus':34 'feder':20 'focus':36 'govern':21 'join':18 'll':28,63 'l…':82 'maintain':49 'manag':79 'oper':41 'part':31,72 'peopl':78 'pipelin':54 'platform':5,25,45,75 'product':50,52,66 'qualiti':67 're':11 'recruit':12 'reliabl':70 'role':9,61 'senior':1,14 'team':6,26,37,76 'tradit':59 'work':29","{agenc,analyst,analyt,architectur,build,cloud,data,design,engin,engineering-focus,feder,focus,govern,join,ll,l…,maintain,manag,oper,part,peopl,pipelin,platform,product,qualiti,re,recruit,reliabl,role,senior,team,tradit,work}","Sydney, NSW",NSW,Sydney
Sales Data Analyst - (Mandarin Speaking),TMGM,"The Rocks, Sydney",not_specified,,,Accounting & Finance Jobs,"TMGM stands at the forefront of online trading and investment services, proudly serving as Chelsea FC's Official Regional Online Forex and Trading Partner in Asia Pacific. With a global presence and offices spanning three continents, TMGM has earned its reputation as a trusted CFD trading provider. We embody excellence through a commitment to regulatory compliance, technological innovation, and unparalleled customer service. At TMGM, our vision goes beyond providing a platform for trading; we a…",data analyst,Adzuna API,2026-06-17 22:09:46.000 +0700,not specified,,,,Sales Data Analyst,"TMGM stands at the forefront of online trading and investment services, proudly serving as Chelsea FC's Official Regional Online Forex and Trading Partner in Asia Pacific. With a global presence and offices spanning three continents, TMGM has earned its reputation as a trusted CFD trading provider. We embody excellence through a commitment to regulatory compliance, technological innovation, and unparalleled customer service. At TMGM, our vision goes beyond providing a platform for trading; we a…","'asia':26 'a…':75 'beyond':68 'cfd':45 'chelsea':15 'commit':53 'complianc':56 'contin':36 'custom':61 'earn':39 'embodi':49 'excel':50 'fc':16 'forefront':5 'forex':21 'global':30 'goe':67 'innov':58 'invest':10 'offic':33 'offici':18 'onlin':7,20 'pacif':27 'partner':24 'platform':71 'presenc':31 'proud':12 'provid':47,69 'region':19 'regulatori':55 'reput':41 'serv':13 'servic':11,62 'span':34 'stand':2 'technolog':57 'three':35 'tmgm':1,37,64 'trade':8,23,46,73 'trust':44 'unparallel':60 'vision':66","{asia,a…,beyond,cfd,chelsea,commit,complianc,contin,custom,earn,embodi,excel,fc,forefront,forex,global,goe,innov,invest,offic,offici,onlin,pacif,partner,platform,presenc,proud,provid,region,regulatori,reput,serv,servic,span,stand,technolog,three,tmgm,trade,trust,unparallel,vision}","Sydney, NSW",NSW,Sydney
Data Analyst (Canberra),Cyos Solutions,"Barton, South Canberra",permanent,,,IT Jobs,"Application closing date Monday, 30 September 2024 - 11:59pm, Canberra time Estimated start date Monday, 4 November 2024 Location of work ACT Working arrangements Subject to negotiations with line manager, hybrid working arrangements in line with current NDIA policy are available (minimum of 3 days each week in the office, with flexible arrangements in place for the remaining 2 days). Length of contract 12 Months Contract extensions 1x 6 months Security clearance Ability to obtain a Baseline Se…",data analyst,Adzuna API,2026-07-02 14:21:40.000 +0700,part_time,,,,Data Analyst,"Application closing date Monday, 30 September 2024 - 11:59pm, Canberra time Estimated start date Monday, 4 November 2024 Location of work ACT Working arrangements Subject to negotiations with line manager, hybrid working arrangements in line with current NDIA policy are available (minimum of 3 days each week in the office, with flexible arrangements in place for the remaining 2 days). Length of contract 12 Months Contract extensions 1x 6 months Security clearance Ability to obtain a Baseline Se…","'11':8 '12':64 '1x':68 '2':59 '2024':7,18 '3':44 '30':5 '4':16 '59pm':9 '6':69 'abil':73 'act':22 'applic':1 'arrang':24,33,53 'avail':41 'baselin':77 'canberra':10 'clearanc':72 'close':2 'contract':63,66 'current':37 'date':3,14 'day':45,60 'estim':12 'extens':67 'flexibl':52 'hybrid':31 'length':61 'line':29,35 'locat':19 'manag':30 'minimum':42 'monday':4,15 'month':65,70 'ndia':38 'negoti':27 'novemb':17 'obtain':75 'offic':50 'place':55 'polici':39 'remain':58 'secur':71 'septemb':6 'se…':78 'start':13 'subject':25 'time':11 'week':47 'work':21,23,32","{11,12,1x,2,2024,3,30,4,59pm,6,abil,act,applic,arrang,avail,baselin,canberra,clearanc,close,contract,current,date,day,estim,extens,flexibl,hybrid,length,line,locat,manag,minimum,monday,month,ndia,negoti,novemb,obtain,offic,place,polici,remain,secur,septemb,se…,start,subject,time,week,work}","Canberra, ACT",ACT,Canberra
